species,category,pattern_type,peak_frequency,min_frequency,min_max_ratio,weeks_with_presence,num_valleys,valleys,valley_types,is_overwintering,edge_case_flags
Black-bellied Whistling-Duck,vagrant,irregular,0.0015,0.0,0.0,2,1,0-47,winter,No,low_peak_frequency|low_annual_presence
Snow Goose,two-passage-migrant,two-passage,0.025641,0.0,0.0,13,2,15-33;42-10,summer|winter,No,classic_bimodal|low_presence
Ross's Goose,vagrant,irregular,0.012579,0.0,0.0,2,1,15-10,winter,No,low_annual_presence
Greater White-fronted Goose,vagrant,irregular,0.019108,0.0,0.0,3,2,12-40;42-9,summer|winter,No,low_annual_presence
Brant,vagrant,irregular,0.001403,0.0,0.0,1,1,0-47,winter,No,low_peak_frequency|low_annual_presence
Cackling Goose,vagrant,irregular,0.008439,0.0,0.0,3,1,36-34,winter,No,low_annual_presence
Canada Goose,single-season,summer,0.453947,0.012579,0.0277,48,1,0-6,winter,No,
Mute Swan,resident,year-round,0.158273,0.0,0.0,47,0,,,No,seasonal_variation|min_max_near_boundary
Trumpeter Swan,resident,year-round,0.138298,0.0,0.0,46,0,,,No,seasonal_variation|min_max_near_boundary
Tundra Swan,two-passage-migrant,two-passage,0.025641,0.0,0.0,12,2,15-38;42-6,summer|winter,No,classic_bimodal|low_presence
Wood Duck,single-season,summer,0.117857,0.0,0.0,33,1,40-10,winter,No,
Blue-winged Teal,two-passage-migrant,two-passage,0.066265,0.0,0.0,27,2,22-27;39-11,summer|winter,No,classic_bimodal
Northern Shoveler,two-passage-migrant,two-passage,0.039474,0.0,0.0,13,2,19-39;41-10,summer|winter,No,classic_bimodal|low_presence
Gadwall,vagrant,irregular,0.049342,0.0,0.0,27,3,17-31;33-36;41-9,summer|summer|winter,No,three_valleys_irregular
Eurasian Wigeon,vagrant,irregular,0.006579,0.0,0.0,1,1,15-13,winter,No,low_annual_presence
American Wigeon,two-passage-migrant,two-passage,0.092105,0.0,0.0,14,2,17-35;41-10,summer|winter,No,classic_bimodal|low_presence
Mallard,resident,year-round,0.435897,0.12,0.2753,48,0,,,No,seasonal_variation
American Black Duck,single-season,winter,0.092308,0.0,0.0,46,1,15-27,summer,No,overwintering
Northern Pintail,two-passage-migrant,two-passage,0.038462,0.0,0.0,20,2,16-30;41-47,summer|winter,No,classic_bimodal
Green-winged Teal,two-passage-migrant,two-passage,0.078947,0.0,0.0,24,2,17-30;43-9,summer|winter,No,classic_bimodal
Canvasback,two-passage-migrant,two-passage,0.016556,0.0,0.0,12,3,0-10;15-36;42-45,winter|summer|winter,No,three_valley_migrant|low_presence
Redhead,single-season,winter,0.191176,0.0,0.0,38,1,16-36,summer,Yes,overwintering
Ring-necked Duck,single-season,winter,0.117391,0.0015,0.0128,48,1,23-30,summer,No,overwintering
Greater Scaup,two-passage-migrant,two-passage,0.069231,0.0,0.0,29,2,6-9;17-36,winter|summer,Yes,classic_bimodal
Lesser Scaup,two-passage-migrant,two-passage,0.095395,0.0,0.0,29,2,0-4;17-35,winter|summer,No,classic_bimodal
Harlequin Duck,vagrant,irregular,0.038462,0.0,0.0,6,2,5-14;20-3,winter|summer,No,
Surf Scoter,vagrant,irregular,0.021277,0.0,0.0,6,2,9-34;44-7,summer|winter,No,
White-winged Scoter,two-passage-migrant,two-passage,0.057554,0.0,0.0,23,2,0-7;17-36,winter|summer,No,classic_bimodal
Black Scoter,vagrant,irregular,0.021583,0.0,0.0,5,1,42-36,winter,No,
