species,category,pattern_type,peak_frequency,min_frequency,min_max_ratio,weeks_with_presence,num_valleys,valleys,valley_types,is_overwintering,edge_case_flags
Snow Goose,single-season,summer,0.010417,0.0,0.0,11,1,14-10,winter,No,low_presence
Ross's Goose,vagrant,irregular,0.008902,0.0,0.0,2,1,42-40,winter,No,low_annual_presence
Cackling Goose,vagrant,irregular,0.005562,0.0,0.0,7,1,13-11,winter,No,low_annual_presence
Canada Goose,single-season,winter,0.385984,0.027344,0.0708,48,1,22-27,summer,No,overwintering
Mute Swan,single-season,winter,0.07764,0.004785,0.0616,48,1,28-31,summer,No,overwintering
Trumpeter Swan,resident,year-round,0.090841,0.002967,0.0327,48,0,,,No,seasonal_variation|min_max_near_boundary
Tundra Swan,two-passage-migrant,two-passage,0.025584,0.0,0.0,20,3,5-8;15-40;44-47,winter|summer|winter,No,three_valley_migrant
Muscovy Duck,vagrant,irregular,0.0015,0.0,0.0,2,1,0-47,winter,No,low_peak_frequency|low_annual_presence
Wood Duck,single-season,summer,0.20347,0.0,0.0,37,1,39-10,winter,No,
Blue-winged Teal,two-passage-migrant,two-passage,0.104354,0.0,0.0,32,2,21-29;33-11,summer|winter,No,classic_bimodal
Northern Shoveler,single-season,summer,0.028274,0.0,0.0,19,1,18-11,winter,No,
Gadwall,two-passage-migrant,two-passage,0.041546,0.0,0.0,31,2,16-35;39-7,summer|winter,No,classic_bimodal
American Wigeon,single-season,summer,0.066964,0.0,0.0,32,1,17-10,winter,No,
Mallard,resident,year-round,0.345894,0.10231,0.2958,48,0,,,No,seasonal_variation
American Black Duck,single-season,winter,0.043899,0.0,0.0,45,1,16-31,summer,No,overwintering
Northern Pintail,vagrant,irregular,0.015625,0.0,0.0,23,4,7-10;15-34;37-40;43-3,winter|summer|mixed|winter,No,many_valleys
Green-winged Teal,two-passage-migrant,two-passage,0.055059,0.0,0.0,32,2,17-30;39-10,summer|winter,No,classic_bimodal
Canvasback,single-season,winter,0.01087,0.0,0.0,17,1,4-47,summer,Yes,overwintering
Redhead,two-passage-migrant,two-passage,0.131988,0.0,0.0,40,2,17-37;41-45,summer|winter,Yes,classic_bimodal
Ring-necked Duck,single-season,summer,0.185268,0.0,0.0,38,1,18-10,winter,No,
Greater Scaup,single-season,winter,0.109319,0.0,0.0,33,1,16-45,summer,Yes,overwintering
Lesser Scaup,two-passage-migrant,two-passage,0.041667,0.0,0.0,33,2,19-37;42-46,summer|winter,Yes,classic_bimodal
Harlequin Duck,vagrant,irregular,0.000751,0.0,0.0,1,1,0-47,winter,No,low_peak_frequency|low_annual_presence
Surf Scoter,two-passage-migrant,two-passage,0.05102,0.0,0.0,19,2,5-36;40-3,summer|winter,No,classic_bimodal
White-winged Scoter,single-season,winter,0.126531,0.0,0.0,34,1,16-36,summer,Yes,overwintering
Black Scoter,two-passage-migrant,two-passage,0.016949,0.0,0.0,19,3,3-9;11-39;41-47,winter|summer|winter,No,three_valley_migrant
Long-tailed Duck,single-season,winter,0.126531,0.0,0.0,34,1,14-38,summer,Yes,overwintering
Bufflehead,single-season,winter,0.282738,0.0,0.0,37,1,18-37,summer,Yes,overwintering
Common Goldeneye,single-season,winter,0.226531,0.0,0.0,38,1,16-39,summer,Yes,overwintering
Barrow's Goldeneye,vagrant,irregular,0.0015,0.0,0.0,2,1,0-47,winter,No,low_peak_frequency|low_annual_presence
Hooded Merganser,single-season,winter,0.101224,0.004286,0.0423,48,1,18-26,summer,No,overwintering
Common Merganser,resident,year-round,0.237988,0.039614,0.1665,48,0,,,No,seasonal_variation|min_max_near_boundary
Red-breasted Merganser,single-season,winter,0.133185,0.003589,0.0269,48,2,20-26;28-37,summer|summer,No,overwintering|two_summer_valleys_merged
Ruddy Duck,two-passage-migrant,two-passage,0.018357,0.0,0.0,17,2,4-12;16-47,winter|summer,No,classic_bimodal
Helmeted Guineafowl,vagrant,irregular,0.000781,0.0,0.0,1,1,0-47,winter,No,low_peak_frequency|low_annual_presence
Northern Bobwhite,vagrant,irregular,0.0015,0.0,0.0,5,1,0-47,winter,No,low_peak_frequency|low_annual_presence
Wild Turkey,resident,year-round,0.128806,0.026769,0.2078,48,0,,,No,seasonal_variation
Ruffed Grouse,single-season,winter,0.129053,0.008287,0.0642,48,1,21-34,summer,No,overwintering
Ring-necked Pheasant,vagrant,irregular,0.0033,0.0,0.0,12,1,0-47,winter,No,low_peak_frequency|low_presence|low_annual_presence
Indian Peafowl,vagrant,irregular,0.0015,0.0,0.0,1,1,0-47,winter,No,low_peak_frequency|low_annual_presence
Rock Pigeon,resident,year-round,0.067548,0.007911,0.1171,48,0,,,No,seasonal_variation|min_max_near_boundary
Eurasian Collared-Dove,vagrant,irregular,0.000648,0.0,0.0,1,1,0-47,winter,No,low_peak_frequency|low_annual_presence
White-winged Dove,vagrant,irregular,0.0015,0.0,0.0,1,1,0-47,winter,No,low_peak_frequency|low_annual_presence
Mourning Dove,resident,year-round,0.379105,0.160211,0.4226,48,0,,,No,seasonal_variation
Yellow-billed Cuckoo,single-season,summer,0.026429,0.0,0.0,17,1,29-17,winter,No,
Black-billed Cuckoo,single-season,summer,0.038563,0.0,0.0,17,1,28-17,winter,No,
Common Nighthawk,two-passage-migrant,two-passage,0.013585,0.0,0.0,16,2,22-30;34-17,summer|winter,No,classic_bimodal
Eastern Whip-poor-will,single-season,summer,0.014541,0.0,0.0,19,1,22-17,winter,No,
Chimney Swift,single-season,summer,0.059739,0.0,0.0,19,1,31-16,winter,No,
Ruby-throated Hummingbird,single-season,summer,0.229952,0.0,0.0,22,1,35-16,winter,No,
Rufous Hummingbird,vagrant,irregular,0.0015,0.0,0.0,1,1,0-47,winter,No,low_peak_frequency|low_annual_presence
Virginia Rail,single-season,summer,0.021472,0.0,0.0,22,1,31-13,winter,No,
Sora,single-season,summer,0.049935,0.0,0.0,25,1,31-14,winter,No,
Common Gallinule,vagrant,irregular,0.005287,0.0,0.0,16,1,21-19,winter,No,low_annual_presence
American Coot,two-passage-migrant,two-passage,0.03285,0.0,0.0,29,2,19-36;43-11,summer|winter,No,classic_bimodal
Yellow Rail,vagrant,irregular,0.000966,0.0,0.0,1,1,0-47,winter,No,low_peak_frequency|low_annual_presence
Sandhill Crane,single-season,summer,0.277295,0.0,0.0,37,1,39-8,winter,No,
American Avocet,vagrant,irregular,0.00265,0.0,0.0,4,1,0-47,winter,No,low_peak_frequency|low_annual_presence
Black-bellied Plover,two-passage-migrant,two-passage,0.006135,0.0,0.0,16,2,20-29;31-18,summer|winter,No,classic_bimodal
American Golden-Plover,vagrant,irregular,0.012177,0.0,0.0,6,1,35-32,winter,No,
Killdeer,single-season,summer,0.175676,0.0,0.0,35,1,38-9,winter,No,
Semipalmated Plover,two-passage-migrant,two-passage,0.044164,0.0,0.0,19,2,22-26;37-17,summer|winter,No,classic_bimodal
Piping Plover,single-season,summer,0.086192,0.0,0.0,22,1,33-12,winter,No,
Upland Sandpiper,single-season,summer,0.017143,0.0,0.0,15,1,26-14,winter,No,
Hudsonian Whimbrel,vagrant,irregular,0.003506,0.0,0.0,4,1,0-47,winter,No,low_peak_frequency
